	SampleID	Day_cat	Animal	Day	type	BC	UN	WU
37	P_d2_P6	d2	P6	2	piglet	-0.191989053	-0.014567881	0.129874288
38	P_d2_P7	d2	P7	2	piglet	-0.164366581	-0.039739141	0.148564118
39	P_d2_P8	d2	P8	2	piglet	-0.192931623	-0.152551497	0.117716349
40	P_d2_P9	d2	P9	2	piglet	-0.267099319	0.005138549	0.127215441
41	P_d21_P1	d21	P1	21	piglet	0.447014025	0.186128327	-0.258537211
42	P_d21_P10	d21	P10	21	piglet	0.476194164	0.26338754	-0.253378494
43	P_d21_P2	d21	P2	21	piglet	0.361028009	-0.090947754	-0.186870717
44	P_d21_P3	d21	P3	21	piglet	0.503013314	0.36130539	-0.28785584
45	P_d21_P4	d21	P4	21	piglet	0.492370988	0.251431954	-0.25145313
46	P_d21_P6	d21	P6	21	piglet	0.530545932	0.372005942	-0.309038697
47	P_d21_P7	d21	P7	21	piglet	0.468461748	0.231374357	-0.303066313
48	P_d21_P8	d21	P8	21	piglet	0.514150726	0.094937176	-0.307988788
49	P_d21_P9	d21	P9	21	piglet	0.272143448	0.144020399	-0.215088693
50	P_d3_P1	d3	P1	3	piglet	-0.146543598	-0.106610676	0.110367953
51	P_d3_P10	d3	P10	3	piglet	-0.228312844	-0.035472163	0.147385434
52	P_d3_P2	d3	P2	3	piglet	-0.232192724	-0.174108059	0.152533304
53	P_d3_P3	d3	P3	3	piglet	0.126824672	0.031002272	-0.022474026
54	P_d3_P4	d3	P4	3	piglet	-0.238587651	-0.05125372	0.159942315
55	P_d3_P5	d3	P5	3	piglet	-0.236586767	-0.086738965	0.137418013
56	P_d3_P6	d3	P6	3	piglet	-0.169287807	0.028500111	0.124710934
57	P_d3_P8	d3	P8	3	piglet	-0.181597534	-0.146786525	0.135785408
58	P_d3_P9	d3	P9	3	piglet	-0.254767998	-0.030109943	0.104361903
59	P_d7_P1	d7	P1	7	piglet	0.039605588	-0.107534632	0.004499764
60	P_d7_P10	d7	P10	7	piglet	0.014967101	-0.041419169	-0.058950854
61	P_d7_P2	d7	P2	7	piglet	0.006512809	-0.163688888	0.042388066
62	P_d7_P3	d7	P3	7	piglet	0.315395972	0.191414113	-0.176581345
63	P_d7_P4	d7	P4	7	piglet	0.031495692	0.031365789	-0.081322381
64	P_d7_P5	d7	P5	7	piglet	-0.158559893	-0.122565386	0.074862112
65	P_d7_P6	d7	P6	7	piglet	0.265344006	0.150232717	-0.227185328
66	P_d7_P7	d7	P7	7	piglet	0.139660515	0.01571331	-0.040025185
67	P_d7_P8	d7	P8	7	piglet	0.219122704	-0.052842078	-0.172682573
68	P_d7_P9	d7	P9	7	piglet	-0.072788269	-0.035290708	0.011855417
